case:concept:name,id_event,sort_order,time,text,concept:name,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break,cumgoal,date,result,time:timestamp,@@index
15 Arsenal vs Chelsea,EmtzRaCt1,1,0:02:00,Ramires (Chelsea) wins a free kick on the right wing.,오른쪽측면프리킥시도,,원정팀,Chelsea,Arsenal,ramires,,,,,,0,오른쪽측면,,없음,,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:02:00+00:00,637609
15 Arsenal vs Chelsea,EmtzRaCt2,2,0:02:00,Foul by Alexis Sanchez (Arsenal).,파울,,홈팀,Arsenal,Chelsea,alexis sanchez,,,,,,0,,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:02:10+00:00,637610
15 Arsenal vs Chelsea,EmtzRaCt3,3,0:02:00,Foul by Branislav Ivanovic (Chelsea).,파울,,원정팀,Chelsea,Arsenal,branislav ivanovic,,,,,,0,,,없음,,0,0,2015-04-26 00:00:20+00:00,무,2015-04-26 00:02:20+00:00,637611
15 Arsenal vs Chelsea,EmtzRaCt4,4,0:02:00,Alexis Sanchez (Arsenal) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Arsenal,Chelsea,alexis sanchez,,,,,,0,공격지역,,없음,,0,0,2015-04-26 00:00:30+00:00,무,2015-04-26 00:02:30+00:00,637612
15 Arsenal vs Chelsea,EmtzRaCt5,5,0:03:00,Foul by Branislav Ivanovic (Chelsea).,파울,,원정팀,Chelsea,Arsenal,branislav ivanovic,,,,,,0,,,없음,,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:03:00+00:00,637613
15 Arsenal vs Chelsea,EmtzRaCt6,6,0:03:00,Alexis Sanchez (Arsenal) wins a free kick in the attacking half.,공격지역프리킥시도,,홈팀,Arsenal,Chelsea,alexis sanchez,,,,,,0,공격지역,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:03:10+00:00,637614
15 Arsenal vs Chelsea,EmtzRaCt7,7,0:06:00,Attempt blocked. Alexis Sanchez (Arsenal) right footed shot from outside the box is blocked. Assisted by Nacho Monreal.,패널티바깥쪽슈팅시도,키패스,홈팀,Arsenal,Chelsea,alexis sanchez,nacho monreal,,,막힘,차단,0,패널티바깥쪽,오른발,패스,필드,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:06:00+00:00,637615
15 Arsenal vs Chelsea,EmtzRaCt8,8,0:06:00,"Corner,  Arsenal. Conceded by Branislav Ivanovic.",코너킥,,홈팀,Arsenal,Chelsea,branislav ivanovic,branislav ivanovic,,,,,0,,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:06:10+00:00,637616
15 Arsenal vs Chelsea,EmtzRaCt9,9,0:07:00,Willian (Chelsea) wins a free kick in the defensive half.,수비지역프리킥시도,,원정팀,Chelsea,Arsenal,willian,,,,,,0,수비지역,,없음,,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:07:00+00:00,637617
15 Arsenal vs Chelsea,EmtzRaCt10,10,0:07:00,Foul by Francis Coquelin (Arsenal).,파울,,홈팀,Arsenal,Chelsea,francis coquelin,,,,,,0,,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:07:10+00:00,637618
15 Arsenal vs Chelsea,EmtzRaCt11,11,0:08:00,Foul by Branislav Ivanovic (Chelsea).,파울,,원정팀,Chelsea,Arsenal,branislav ivanovic,,,,,,0,,,없음,,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:08:00+00:00,637619
15 Arsenal vs Chelsea,EmtzRaCt12,12,0:08:00,Alexis Sanchez (Arsenal) wins a free kick in the defensive half.,수비지역프리킥시도,,홈팀,Arsenal,Chelsea,alexis sanchez,,,,,,0,수비지역,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:08:10+00:00,637620
15 Arsenal vs Chelsea,EmtzRaCt13,13,0:10:00,Eden Hazard (Chelsea) wins a free kick in the attacking half.,공격지역프리킥시도,,원정팀,Chelsea,Arsenal,eden hazard,,,,,,0,공격지역,,없음,,0,0,2015-04-26 00:00:00+00:00,무,2015-04-26 00:10:00+00:00,637621
15 Arsenal vs Chelsea,EmtzRaCt14,14,0:10:00,Foul by Francis Coquelin (Arsenal).,파울,,홈팀,Arsenal,Chelsea,francis coquelin,,,,,,0,,,없음,,0,0,2015-04-26 00:00:10+00:00,무,2015-04-26 00:10:10+00:00,637622
