id_odsp,event_team,cumgoal
UFot0hit/,Hamburg SV,1
UFot0hit/,Borussia Dortmund,3
Aw5DflLH/,FC Augsburg,2
Aw5DflLH/,SC Freiburg,2
bkjpaC6n/,Werder Bremen,2
bkjpaC6n/,Kaiserslautern,0
CzPV312a/,Lorient,1
CzPV312a/,Paris Saint-Germain,0
GUOdmtII/,Valenciennes,0
GUOdmtII/,Caen,1
lOpzwMkp/,Hertha Berlin,0
lOpzwMkp/,Nurnberg,1
M7PhlM2C/,Evian Thonon Gaillard,2
M7PhlM2C/,Brest,2
QuWqjrYa/,AC Ajaccio,0
QuWqjrYa/,Toulouse,2
UBZQ4smg/,Nice,1
UBZQ4smg/,Lyon,3
Wn69eU5B/,VfL Wolfsburg,3
Wn69eU5B/,FC Cologne,0
WQGN5NXn/,AS Nancy Lorraine,1
WQGN5NXn/,Lille,1
x4HJ63It/,Montpellier,3
x4HJ63It/,AJ Auxerre,1
xQ65dAj5/,VfB Stuttgart,3
xQ65dAj5/,Schalke 04,0
xtklbWLh/,Hannover 96,2
xtklbWLh/,TSG Hoffenheim,1
zeViBqAP/,Sochaux,2
zeViBqAP/,Marseille,2
84Llk2m6/,Bordeaux,1
84Llk2m6/,St Etienne,2
fLN0n0XO/,Stade Rennes,5
fLN0n0XO/,Dijon FCO,1
K4vgcjya/,Mainz,2
K4vgcjya/,Bayer Leverkusen,0
SEqvxt5j/,Bayern Munich,0
SEqvxt5j/,Borussia Monchengladbach,1
bHbEI0Hh/,Sochaux,1
bHbEI0Hh/,Caen,2
bw0Yaqcc/,Schalke 04,5
bw0Yaqcc/,FC Cologne,1
byqaawHU/,Lyon,1
byqaawHU/,AC Ajaccio,1
Ea52eLBS/,TSG Hoffenheim,1
Ea52eLBS/,Borussia Dortmund,0
I5sHJt2n/,AS Nancy Lorraine,0
I5sHJt2n/,St Etienne,1
KhlsbNR9/,Nurnberg,1
KhlsbNR9/,Hannover 96,2
lShocssG/,SC Freiburg,1
lShocssG/,Mainz,2
pYve0J1O/,Bordeaux,1
pYve0J1O/,Lorient,1
t2kwa3C3/,Hamburg SV,2
t2kwa3C3/,Hertha Berlin,2
UPAXkaZk/,Borussia Monchengladbach,1
UPAXkaZk/,VfB Stuttgart,1
vFrDKMnt/,Paris Saint-Germain,1
vFrDKMnt/,Stade Rennes,1
WUdMGvn5/,Brest,0
WUdMGvn5/,Valenciennes,0
x8cIHKWb/,Dijon FCO,0
x8cIHKWb/,Toulouse,2
z3BTjuKq/,VfL Wolfsburg,0
z3BTjuKq/,Bayern Munich,1
29kj1anI/,Montpellier,1
29kj1anI/,Lille,0
fqnr3LH5/,AJ Auxerre,2
fqnr3LH5/,Marseille,2
OIjn2uXB/,Nice,0
OIjn2uXB/,Evian Thonon Gaillard,1
pzdU0Psi/,Bayer Leverkusen,1
pzdU0Psi/,Werder Bremen,0
WzGcd1dM/,Kaiserslautern,1
WzGcd1dM/,FC Augsburg,1
WMIN4blq/,Borussia Monchengladbach,4
WMIN4blq/,VfL Wolfsburg,1
0vWe9vtS/,FC Cologne,1
0vWe9vtS/,Kaiserslautern,1
8G9ykJld/,Borussia Dortmund,2
8G9ykJld/,Nurnberg,0
ADHR3I3k/,FC Augsburg,0
ADHR3I3k/,TSG Hoffenheim,2
IV8qAKQL/,VfB Stuttgart,0
IV8qAKQL/,Bayer Leverkusen,1
ljHSD2Rd/,Bayern Munich,5
ljHSD2Rd/,Hamburg SV,0
